standardized_filename,original_stem,species,bird,display_name,call_type,n_calls,recording_id,date,location,environment_class,stimulus_only,sex,age_years,social_group,session_known,kind,rel_audio_path,aviary,birth_year,sibling_group
aa_acorn_contact_240419-507_01.wav,acorn_1_elevator_240419_0507,aa,acorn,Acorn,contact,1,240419-507,2024-04-19,elevator,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_1_elevator_240419_0507.wav,Aviary 3,2013,family_1
aa_acorn_contact_240420-520_01.wav,acorn_2_elevator_240420_0520,aa,acorn,Acorn,contact,1,240420-520,2024-04-20,elevator,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_2_elevator_240420_0520.wav,Aviary 3,2013,family_1
aa_acorn_contact_240420-520_02.wav,acorn_3_elevator_240420_0520,aa,acorn,Acorn,contact,1,240420-520,2024-04-20,elevator,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_3_elevator_240420_0520.wav,Aviary 3,2013,family_1
aa_acorn_contact_240421-0527_01.wav,acorn_4_elevator_240421_0527,aa,acorn,Acorn,contact,1,240421-0527,2024-04-21,NA,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_4_elevator_240421_0527.wav,Aviary 3,2013,family_1
aa_acorn_contact_240421-527_01.wav,acorn_5_elevator_240421_0527,aa,acorn,Acorn,contact,1,240421-527,2024-04-21,elevator,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_5_elevator_240421_0527.wav,Aviary 3,2013,family_1
aa_acorn_contact_240424-549_01.wav,acorn_6_elevator_240424_0549,aa,acorn,Acorn,contact,1,240424-549,2024-04-24,elevator,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_6_elevator_240424_0549.wav,Aviary 3,2013,family_1
aa_acorn_contact_240424-549_02.wav,acorn_7_elevator_240424_0549,aa,acorn,Acorn,contact,1,240424-549,2024-04-24,elevator,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_7_elevator_240424_0549.wav,Aviary 3,2013,family_1
aa_acorn_contact_240425-566_01.wav,acorn_8_elevator_240425_0566,aa,acorn,Acorn,contact,1,240425-566,2024-04-25,elevator,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_8_elevator_240425_0566.wav,Aviary 3,2013,family_1
aa_acorn_contact_240426-0580_01.wav,acorn_57_elevator_240426_0580,aa,acorn,Acorn,contact,1,240426-0580,2024-04-26,NA,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_57_elevator_240426_0580.wav,Aviary 3,2013,family_1
aa_acorn_contact_240426-579_01.wav,acorn_9_elevator_240426_0579,aa,acorn,Acorn,contact,1,240426-579,2024-04-26,elevator,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_9_elevator_240426_0579.wav,Aviary 3,2013,family_1
aa_acorn_contact_240429-598_01.wav,acorn_10_elevator_240429_0598,aa,acorn,Acorn,contact,1,240429-598,2024-04-29,elevator,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_10_elevator_240429_0598.wav,Aviary 3,2013,family_1
aa_acorn_contact_240429-598_02.wav,acorn_11_elevator_240429_0598,aa,acorn,Acorn,contact,1,240429-598,2024-04-29,elevator,captive_facility,NA,F,NA,NA,1,single,data/aa/all_calls/single/acorn_11_elevator_240429_0598.wav,Aviary 3,2013,family_1
